day_only,header,hours,minutes,titleUrl,time_min,time_max,prod_count
6/8/2021,DOP 2: Delete One Part,,,https://play.google.com/store/apps/details?id=com.playstrom.dop2,2021-06-08 15:15:17.868000+00:00,2021-06-08 15:15:17.868000+00:00,1
6/8/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-06-08 12:19:17.228000+00:00,2021-06-08 21:00:48.116000+00:00,4
6/8/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-06-08 12:17:15.631000+00:00,2021-06-08 19:24:06.448000+00:00,4
6/8/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-06-08 08:45:24.099000+00:00,2021-06-08 13:50:16.381000+00:00,5
6/8/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-06-08 08:45:11.126000+00:00,2021-06-08 21:00:44.566000+00:00,8
6/9/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-06-09 09:49:27.559000+00:00,2021-06-09 18:45:58.618000+00:00,7
6/9/2021,Google Chrome: Fast & Secure,,,https://play.google.com/store/apps/details?id=com.android.chrome,2021-06-09 09:37:48.045000+00:00,2021-06-09 09:37:48.045000+00:00,1
6/9/2021,Microsoft OneDrive,,,https://play.google.com/store/apps/details?id=com.microsoft.skydrive,2021-06-09 09:40:11.310000+00:00,2021-06-09 09:40:11.310000+00:00,1
6/9/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-06-09 09:36:17.610000+00:00,2021-06-09 15:43:51.075000+00:00,6
6/9/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-06-09 11:07:33.732000+00:00,2021-06-09 20:01:34.109000+00:00,2
6/9/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-06-09 10:16:06.663000+00:00,2021-06-09 20:01:26.789000+00:00,8
6/10/2021,DOP 2: Delete One Part,,,https://play.google.com/store/apps/details?id=com.playstrom.dop2,2021-06-10 10:00:42.654000+00:00,2021-06-10 10:00:42.654000+00:00,1
6/10/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-06-10 10:12:09.470000+00:00,2021-06-10 16:15:41.363000+00:00,6
6/10/2021,Gacha Life,,,https://play.google.com/store/apps/details?id=air.com.lunime.gachalife,2021-06-10 15:51:19.264000+00:00,2021-06-10 15:51:19.264000+00:00,1
6/10/2021,Google Chrome: Fast & Secure,,,https://play.google.com/store/apps/details?id=com.android.chrome,2021-06-10 10:48:46.975000+00:00,2021-06-10 10:48:46.975000+00:00,1
6/10/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-06-10 10:17:05.616000+00:00,2021-06-10 14:36:08.282000+00:00,4
6/10/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-06-10 11:06:22.361000+00:00,2021-06-10 16:47:34.082000+00:00,3
6/10/2021,Netflix,,,https://play.google.com/store/apps/details?id=com.netflix.mediaclient,2021-06-10 21:09:22.573000+00:00,2021-06-10 21:09:22.573000+00:00,1
6/10/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-06-10 10:17:01.120000+00:00,2021-06-10 21:09:17.550000+00:00,7
6/11/2021,DOP 2: Delete One Part,,,https://play.google.com/store/apps/details?id=com.playstrom.dop2,2021-06-11 10:33:37.160000+00:00,2021-06-11 15:19:58.381000+00:00,2
6/11/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-06-11 12:28:13.883000+00:00,2021-06-11 18:55:05.957000+00:00,2
6/11/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-06-11 09:16:26.989000+00:00,2021-06-11 15:20:53.354000+00:00,4
6/11/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-06-11 12:11:32.890000+00:00,2021-06-11 17:56:07.512000+00:00,3
6/11/2021,Netflix,,,https://play.google.com/store/apps/details?id=com.netflix.mediaclient,2021-06-11 20:11:02.262000+00:00,2021-06-11 20:11:02.262000+00:00,1
6/11/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-06-11 09:16:23.903000+00:00,2021-06-11 20:10:58.712000+00:00,7
6/12/2021,Brain Test 2: Tricky Stories,,,https://play.google.com/store/apps/details?id=com.unicostudio.braintest2new,2021-06-12 10:26:33.822000+00:00,2021-06-12 19:25:11.113000+00:00,5
6/12/2021,Brawl Stars,,,https://play.google.com/store/apps/details?id=com.supercell.brawlstars,2021-06-12 13:52:01.293000+00:00,2021-06-12 13:52:01.293000+00:00,1
6/12/2021,DOP 2: Delete One Part,,,https://play.google.com/store/apps/details?id=com.playstrom.dop2,2021-06-12 13:53:00.380000+00:00,2021-06-12 19:42:13.607000+00:00,2
